comment
这件T恤很舒服 fabric is soft
裙子颜色好看 I love this dress
外套保暖 great for winter
裤子合身 perfect fit
衬衫透气 comfortable for work
毛衣柔软 soft and warm
运动裤很满意 excellent quality
这件夹克值得推荐 great jacket
裙子穿着舒适 good material
T恤款式喜欢 love the design
裤子质量满意 perfect stitching
这件大衣好看 excellent coat
短裤透气 comfortable in summer
衬衫柔软 soft cotton
卫衣很舒服 good hoodie
裙子拉链破损 bad zipper
T恤洗完缩水 poor quality
毛衣扎人 scratchy fabric
裤子太小 tight waist
外套掉色 disappointed with color
衬衫起球 terrible material
夹克做工差 bad stitching
裙子太大 poor fit
毛衣穿着失望 uncomfortable sleeves
短裤破损 terrible seams
这件卫衣难看 bad design
包装内有一件蓝色 shirt
黑色 trousers size M arrived today
裙子好看但是缩水
外套 soft but scratchy
